SECTOR,YEAR,CENTRALITY,N_MAKE,N_USE,PCT_MAKE,PCT_USE
129.0,2014.0,0.030420122,13.0,188.0,0.09425418327204016,0.9738679468425414
130.0,2014.0,0.030420122,11.0,184.0,0.04864062214780618,0.9765084457818863
131.0,2014.0,-0.105683359,6.0,110.0,0.020865732230958223,0.38305666461013554
132.0,2014.0,-0.041651425,6.0,185.0,0.007879126169449746,0.9894373570052309
133.0,2014.0,-0.041651425,8.0,185.0,0.032738744628314276,0.9904522519438763
134.0,2014.0,-0.010678959,3.0,169.0,0.027653557956451302,0.9998878921398436
135.0,2014.0,-0.010678959,11.0,175.0,0.09990376130265899,0.995119972512886
136.0,2014.0,0.022450943,11.0,165.0,0.032789072531796304,0.9941089446630548
137.0,2014.0,0.022450943,13.0,185.0,0.020287818540410174,0.9582468094148242
138.0,2014.0,-0.053993823,8.0,186.0,0.03237005490989542,0.9945538321023083
139.0,2014.0,-0.053993823,4.0,120.0,0.0065494488331240275,0.9875407089962787
140.0,2014.0,0.039796235,8.0,181.0,0.012358788836005274,0.9957019044286722
141.0,2014.0,0.039796235,6.0,188.0,0.0012450641450125755,0.9931118174997242
142.0,2014.0,-0.041102048,8.0,182.0,0.30425551106318427,0.9959489062833449
143.0,2014.0,-0.041102048,9.0,188.0,0.020723340539687274,0.8973076794724735
144.0,2014.0,-0.077221543,5.0,0.0,0.0369492710249566,0.0
145.0,2014.0,-0.077221543,12.0,33.0,0.34248874988317835,0.8909358171108839
146.0,2014.0,-0.044616269,7.0,29.0,0.02019805303444633,0.921214165087762
147.0,2014.0,-0.044616269,8.0,2.0,0.007975703687811753,1.0
148.0,2014.0,0.000828291,7.0,0.0,0.007606947238822048,0.0
149.0,2014.0,0.000828291,9.0,2.0,0.03426193132883526,1.0
150.0,2014.0,-0.015011998,8.0,2.0,0.014489140573296533,1.0
151.0,2014.0,-0.015011998,7.0,11.0,0.017976091070796896,1.0
152.0,2014.0,-0.007091425,8.0,0.0,0.021110322468573472,0.0
153.0,2014.0,-0.007091425,7.0,15.0,0.005617482291900511,1.0
154.0,2014.0,-0.019620877,9.0,0.0,0.029482771083430892,0.0
155.0,2014.0,-0.019620877,10.0,2.0,0.008270970251529897,1.0
156.0,2014.0,0.06376162,9.0,1.0,0.06081709782081235,1.0
157.0,2014.0,-0.068483513,8.0,3.0,0.008306819242186236,1.0
158.0,2014.0,0.038233165,6.0,1.0,0.016097813543795914,1.0
159.0,2014.0,0.038233165,11.0,152.0,0.04600120344130598,0.9993304315462579
160.0,2014.0,-0.026753479,12.0,167.0,0.26278572112892407,0.7747217076046928
161.0,2014.0,-0.026753479,10.0,152.0,0.414717862377877,0.8501138283715552
162.0,2014.0,0.019355677,8.0,171.0,0.0757940903042017,0.9999854347870054
163.0,2014.0,0.019355677,13.0,0.0,0.1871195051678416,0.0
164.0,2014.0,0.02863344,10.0,8.0,0.267044904665962,1.0
165.0,2014.0,-0.064546321,7.0,2.0,0.027886101711704248,1.0
166.0,2014.0,-0.064546321,18.0,172.0,0.1784763873819739,0.9993100316772839
167.0,2014.0,-0.067311307,17.0,181.0,0.3641408089544619,0.9925473476165944
168.0,2014.0,-0.014321715,9.0,188.0,0.007363648662559008,0.9795098993065225
169.0,2014.0,-0.014321715,10.0,183.0,0.016050184419116764,0.9976110813671116
170.0,2014.0,-0.067099782,9.0,184.0,0.05752862042547424,0.9977538612934195
171.0,2014.0,-0.067099782,9.0,180.0,0.02554632474339369,0.9986673609907916
172.0,2014.0,0.049422424,9.0,180.0,0.010456944501850751,0.999229112092663
173.0,2014.0,0.066009535,6.0,2.0,0.008139544305113988,0.05922534368033028
174.0,2014.0,0.034213808,5.0,0.0,0.09082695905975358,0.0
175.0,2014.0,0.034213808,7.0,123.0,0.01107482662561865,0.9142315304187931
176.0,2014.0,0.03031946,8.0,70.0,0.003994254273300135,0.9999359919642272
177.0,2014.0,-0.041047026,2.0,0.0,0.009900990099009799,0.0
178.0,2014.0,-0.000238071,7.0,1.0,0.015330852823024932,0.7149427465301254
179.0,2014.0,-0.000152392,7.0,176.0,0.07039423573223169,0.8987746098237713
180.0,2014.0,0.000562911,0.0,0.0,0.0,0.0
181.0,2014.0,0.000122377,2.0,125.0,0.009900985322043643,1.0
182.0,2014.0,0.000354713,3.0,0.0,1.0,0.0
183.0,2014.0,0.00054928,8.0,4.0,0.40437588569368377,1.0
184.0,2014.0,0.0,0.0,0.0,0.0,0.0
185.0,2014.0,0.0,0.0,0.0,0.0,0.0
186.0,2014.0,0.0,13.0,0.0,0.20583909657014343,0.0
187.0,2014.0,0.0,0.0,0.0,0.0,0.0
188.0,2014.0,0.000700923,0.0,0.0,0.0,0.0
189.0,2014.0,0.0,13.0,0.0,0.26225847921480305,0.0
190.0,2014.0,0.0,2.0,0.0,1.0,0.0
191.0,2014.0,-0.000333841,14.0,173.0,0.7992058938409522,0.9829761898329142
192.0,2014.0,0.0,0.0,0.0,0.0,0.0
